DOK_SERIJA_IR_NUMERIS	DOK_DATA	DOK_APMOKTERMINAS	DOK_SUMASUPVM	DOK_SKYRIUS	PREK_PAVADINIMAS	PREK_KIEKIS	PREK_KAINA
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	FEB06562	1	2.82
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	FEB03621	1	8.08
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	FEB22709	2	6.05
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	LUCBDA576	2	18.20
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	INA535003010	1	16.77
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	MOSSP3894	1	17.50
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	VEM24-73-0010	1	2.95
FA 119417/09/2018/U	2018-09-26	2018-10-26	129.34	CSA1	ABS18543	2	16.36
FA 119448/09/2018/U	2018-09-26	2018-10-26	129.19	CSA3	NIS64668A	1	86.47
FA 119448/09/2018/U	2018-09-26	2018-10-26	129.19	CSA3	ABS2785-S	2	21.36
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	FEB01518	2	1.79
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	ABS36790	1	9.55
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	RNZ02-36225-01	1	49.62
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	WAL80180-22	2	1.57
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	FEB21142	1	26.22
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	HUC133000	1	28.23
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	BERZS 259	1	57.36
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	VNW7625261	1	15.68
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	MAH012 18 N0	4	9
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	KLN66043	2	34.46
FA 119425/09/2018/U	2018-09-26	2018-10-26	302.72	SKAU	CHACAF100881P	1	4.42
FA 119415/09/2018/U	2018-09-26	2018-10-26	132.45	SPAN	LUCDF4993S	2	48.59
FA 119415/09/2018/U	2018-09-26	2018-10-26	132.45	SPAN	RNZ14-32311-01	1	24.39
FA 119415/09/2018/U	2018-09-26	2018-10-26	132.45	SPAN	BOSF026400226	1	10.88
FA 119504/09/2018/U	2018-09-26	2018-10-26	114.77	SSIA	MOB0W40 ESP 1-K	12	5.98
FA 119504/09/2018/U	2018-09-26	2018-10-26	114.77	SSIA	FEB46730	1	43.01
